filepath,label
1950/1.csv,disposed of
1950/10.csv,dismissed
1950/11.csv,dismissed
1950/12.csv,dismissed
1950/13.csv,dismissed
1950/14.csv,dismissed
1950/15.csv,dismissed
1950/16.csv,partly allowed
1950/17.csv,allowed
1950/18.csv,dismissed
1950/19.csv,dismissed
1950/2.csv,allowed
1950/20.csv,dismissed
1950/21.csv,dismissed
1950/22.csv,allowed
1950/23.csv,dismissed
1950/24.csv,allowed
1950/25.csv,allowed
1950/26.csv,allowed
1950/27.csv,dismissed
1950/28.csv,dismissed
1950/29.csv,partly allowed
1950/3.csv,disposed of
1950/30.csv,allowed
1950/31.csv,allowed
1950/32.csv,allowed
1950/33.csv,allowed
1950/34.csv,allowed
1950/35.csv,allowed
1950/36.csv,allowed
1950/37.csv,allowed
1950/38.csv,allowed
1950/39.csv,partly allowed
1950/4.csv,dismissed
1950/40.csv,allowed
1950/41.csv,allowed
1950/42.csv,dismissed
1950/43.csv,dismissed
1950/44.csv,dismissed
1950/45.csv,dismissed
1950/46.csv,dismissed
1950/47.csv,dismissed
1950/48.csv,dismissed
1950/49.csv,dismissed
1950/5.csv,allowed
1950/50.csv,partly allowed
1950/51.csv,allowed
1950/52.csv,dismissed
1950/53.csv,allowed
1950/54.csv,dismissed
1950/55.csv,dismissed
1950/56.csv,allowed
1950/57.csv,dismissed
1950/58.csv,dismissed
1950/6.csv,dismissed
1950/7.csv,dismissed
1950/8.csv,dismissed
1950/9.csv,allowed
1951/1.csv,dismissed
1951/10.csv,allowed
1951/11.csv,allowed
1951/12.csv,allowed
1951/13.csv,disposed of
1951/14.csv,dismissed
1951/15.csv,allowed
1951/16.csv,dismissed
1951/17.csv,allowed
1951/18.csv,dismissed
1951/19.csv,dismissed
1951/2.csv,dismissed
1951/20.csv,dismissed
1951/21.csv,allowed
1951/22.csv,allowed
1951/23.csv,allowed
1951/24.csv,allowed
1951/25.csv,disposed of
1951/26.csv,disposed of
1951/27.csv,dismissed
1951/28.csv,disposed of
1951/29.csv,dismissed
1951/3.csv,dismissed
1951/30.csv,allowed
1951/31.csv,dismissed
1951/32.csv,dismissed
1951/33.csv,dismissed
1951/34.csv,allowed
1951/35.csv,disposed of
1951/36.csv,disposed of
1951/37.csv,dismissed
1951/38.csv,disposed of
1951/39.csv,dismissed
1951/4.csv,allowed
1951/40.csv,allowed
1951/41.csv,allowed
1951/42.csv,partly allowed
1951/43.csv,dismissed
1951/44.csv,dismissed
1951/45.csv,allowed
1951/46.csv,dismissed
1951/47.csv,allowed
1951/48.csv,allowed
1951/49.csv,dismissed
1951/5.csv,dismissed
1951/50.csv,dismissed
1951/51.csv,dismissed
1951/52.csv,dismissed
1951/53.csv,dismissed
1951/54.csv,dismissed
1951/55.csv,allowed
1951/56.csv,allowed
1951/57.csv,allowed
1951/58.csv,dismissed
1951/59.csv,allowed
1951/6.csv,allowed
1951/60.csv,allowed
1951/61.csv,dismissed
1951/62.csv,dismissed
1951/63.csv,partly allowed
1951/64.csv,dismissed
1951/65.csv,dismissed
1951/66.csv,dismissed
1951/67.csv,allowed
1951/68.csv,allowed
1951/69.csv,dismissed
1951/7.csv,allowed
1951/70.csv,dismissed
1951/71.csv,dismissed
1951/72.csv,disposed of
1951/73.csv,dismissed
1951/74.csv,allowed
1951/75.csv,allowed
1951/76.csv,dismissed
